timeframe,setup,rr,feature_a,feature_b,bin_a,bin_b,trades,wins,losses,win_rate_pct_num,win_rate_pct
1h,PFR,1.0,lower_wick,rsi,2.0,3.0,30,19,11,63.33333333333333,"63,3%"
1h,PFR,1.0,clv,vol_z,1.0,3.0,30,19,11,63.33333333333333,"63,3%"
1h,PFR,1.0,clv,pullback_from_new_high_pct,3.0,2.0,30,19,11,63.33333333333333,"63,3%"
1h,PFR,1.0,clv,context_pullback_pct,3.0,2.0,30,19,11,63.33333333333333,"63,3%"
1h,PFR,1.0,dist_to_sma80_pct,slope_strength,3.0,3.0,49,31,18,63.26530612244898,"63,3%"
1h,DL,1.0,vol_z,after_new_high_flag,3.0,1.0,46,29,17,63.04347826086957,"63,0%"
1h,DL,1.0,vol_z,context_after_extreme_flag,3.0,1.0,46,29,17,63.04347826086957,"63,0%"
1h,PFR,1.0,slope_strength,dist_to_low_n_pct,3.0,2.0,35,22,13,62.857142857142854,"62,9%"
1h,PFR,1.0,atr_pct,upper_wick,3.0,3.0,35,22,13,62.857142857142854,"62,9%"
1h,PFR,1.0,atr_pct,pos_in_range_n,0.0,0.0,35,22,13,62.857142857142854,"62,9%"
1h,PFR,1.0,body_pct,vol_z,3.0,3.0,51,32,19,62.745098039215684,"62,7%"
1h,PFR,1.0,ret_1_pct,vol_z,3.0,3.0,51,32,19,62.745098039215684,"62,7%"
1h,PFR,1.0,sma8,atr_pct,2.0,2.0,40,25,15,62.5,"62,5%"
1h,PFR,1.0,sma80,atr_pct,2.0,2.0,40,25,15,62.5,"62,5%"
1h,PFR,1.0,ma_gap_pct,range_pct,3.0,3.0,40,25,15,62.5,"62,5%"
1h,PFR,1.0,slope_strength,range_pct,3.0,3.0,40,25,15,62.5,"62,5%"
1h,PFR,1.0,slope_strength,body_pct,3.0,3.0,40,25,15,62.5,"62,5%"
1h,PFR,1.0,slope_strength,ret_1_pct,3.0,3.0,40,25,15,62.5,"62,5%"
1h,PFR,1.0,atr,upper_wick_pct,3.0,3.0,40,25,15,62.5,"62,5%"
1h,PFR,1.0,atr_pct,rolling_high_20,2.0,2.0,40,25,15,62.5,"62,5%"
1h,PFR,1.0,atr_pct,rolling_low_20,2.0,2.0,40,25,15,62.5,"62,5%"
1h,PFR,1.0,body_pct,pullback_from_new_high_pct,3.0,0.0,40,25,15,62.5,"62,5%"
1h,PFR,1.0,body_pct,context_pullback_pct,3.0,0.0,40,25,15,62.5,"62,5%"
1h,PFR,1.0,ret_1_pct,pullback_from_new_high_pct,3.0,0.0,40,25,15,62.5,"62,5%"
1h,PFR,1.0,ret_1_pct,context_pullback_pct,3.0,0.0,40,25,15,62.5,"62,5%"
1h,PFR,1.0,sma8,lower_wick,2.0,3.0,32,20,12,62.5,"62,5%"
1h,PFR,1.0,ma_gap_pct,upper_wick,2.0,3.0,32,20,12,62.5,"62,5%"
1h,PFR,1.0,dist_to_sma80_pct,lower_wick,2.0,3.0,32,20,12,62.5,"62,5%"
1h,PFR,1.0,lower_wick,rolling_high_20,3.0,2.0,32,20,12,62.5,"62,5%"
1h,PFR,1.0,upper_wick_pct,pos_in_range_n,1.0,0.0,32,20,12,62.5,"62,5%"
1h,PFR,1.0,range,body,3.0,3.0,77,48,29,62.33766233766234,"62,3%"
1h,PFR,1.0,body,bars_since_new_high,3.0,0.0,45,28,17,62.22222222222222,"62,2%"
1h,PFR,1.0,body,context_bars_since_extreme,3.0,0.0,45,28,17,62.22222222222222,"62,2%"
1h,PFR,1.0,atr,body,2.0,3.0,34,21,13,61.76470588235294,"61,8%"
1h,PFR,1.0,lower_wick,ret_3_pct,3.0,2.0,34,21,13,61.76470588235294,"61,8%"
1h,PFR,1.0,rsi,dist_to_high_n_pct,0.0,3.0,34,21,13,61.76470588235294,"61,8%"
1h,PFR,1.0,rsi,dist_to_high_n_pct,3.0,0.0,34,21,13,61.76470588235294,"61,8%"
1h,PFR,1.0,ma_gap_pct,slope_strength,3.0,3.0,39,24,15,61.53846153846154,"61,5%"
1h,PFR,1.0,body_pct,dist_to_high_n_pct,3.0,0.0,39,24,15,61.53846153846154,"61,5%"
1h,PFR,1.0,lower_wick,vol_z,3.0,3.0,39,24,15,61.53846153846154,"61,5%"
1h,PFR,1.0,ret_1_pct,dist_to_high_n_pct,3.0,0.0,39,24,15,61.53846153846154,"61,5%"
1h,PFR,1.0,body,lower_wick,3.0,3.0,44,27,17,61.36363636363637,"61,4%"
1h,PFR,1.0,sma80,lower_wick,2.0,3.0,31,19,12,61.29032258064516,"61,3%"
1h,PFR,1.0,atr,bars_since_new_high,1.0,3.0,31,19,12,61.29032258064516,"61,3%"
1h,PFR,1.0,atr,context_bars_since_extreme,1.0,3.0,31,19,12,61.29032258064516,"61,3%"
1h,PFR,1.0,range,clv,3.0,1.0,31,19,12,61.29032258064516,"61,3%"
1h,PFR,1.0,range,dist_to_high_n_pct,3.0,0.0,31,19,12,61.29032258064516,"61,3%"
1h,PFR,1.0,range,dist_to_high_n_pct,3.0,3.0,31,19,12,61.29032258064516,"61,3%"
1h,PFR,1.0,body,rsi,3.0,3.0,31,19,12,61.29032258064516,"61,3%"
1h,PFR,1.0,body_pct,rsi,3.0,3.0,31,19,12,61.29032258064516,"61,3%"
1h,PFR,1.0,lower_wick,rolling_low_20,3.0,2.0,31,19,12,61.29032258064516,"61,3%"
1h,PFR,1.0,upper_wick_pct,ret_3_pct,3.0,3.0,31,19,12,61.29032258064516,"61,3%"
1h,PFR,1.0,ret_1_pct,rsi,3.0,3.0,31,19,12,61.29032258064516,"61,3%"
1h,PFR,1.0,rsi,bars_since_new_high,2.0,1.0,31,19,12,61.29032258064516,"61,3%"
1h,PFR,1.0,rsi,context_bars_since_extreme,2.0,1.0,31,19,12,61.29032258064516,"61,3%"
1h,PFR,1.0,range,upper_wick,3.0,3.0,54,33,21,61.111111111111114,"61,1%"
1h,PFR,1.0,atr_pct,ret_5_pct,0.0,1.0,36,22,14,61.111111111111114,"61,1%"
1h,PFR,1.0,range_pct,ret_5_pct,1.0,1.0,36,22,14,61.111111111111114,"61,1%"
1h,PFR,1.0,upper_wick,clv,3.0,1.0,36,22,14,61.111111111111114,"61,1%"
1h,PFR,1.5,upper_wick,vol_z,3.0,3.0,36,22,14,61.111111111111114,"61,1%"
1h,PFR,1.0,range_pct,dist_to_high_n_pct,3.0,3.0,41,25,16,60.97560975609756,"61,0%"
1h,DL,1.0,clv,after_new_high_flag,2.0,1.0,46,28,18,60.86956521739131,"60,9%"
1h,DL,1.0,clv,context_after_extreme_flag,2.0,1.0,46,28,18,60.86956521739131,"60,9%"
1h,PFR,1.0,ret_5_pct,pos_in_range_n,3.0,3.0,46,28,18,60.86956521739131,"60,9%"
1h,PFR,1.0,atr,range,3.0,3.0,66,40,26,60.60606060606061,"60,6%"
1h,PFR,1.0,sma8,bars_since_new_high,3.0,0.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,sma8,context_bars_since_extreme,3.0,0.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,sma80,bars_since_new_high,3.0,0.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,sma80,context_bars_since_extreme,3.0,0.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,dist_to_sma80_pct,upper_wick_pct,2.0,3.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,range,pos_in_range_n,0.0,0.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,range_pct,ret_5_pct,3.0,2.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,body,lower_wick_pct,3.0,3.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,body_pct,bars_since_new_high,2.0,0.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,body_pct,context_bars_since_extreme,2.0,0.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,ret_1_pct,bars_since_new_high,2.0,0.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,ret_1_pct,context_bars_since_extreme,2.0,0.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,ret_3_pct,pullback_from_new_high_pct,0.0,2.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,ret_3_pct,context_pullback_pct,0.0,2.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,rolling_high_20,bars_since_new_high,3.0,0.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,rolling_high_20,context_bars_since_extreme,3.0,0.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,rolling_low_20,bars_since_new_high,3.0,0.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,rolling_low_20,context_bars_since_extreme,3.0,0.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.5,ma_gap_pct,body,3.0,3.0,33,20,13,60.60606060606061,"60,6%"
1h,PFR,1.0,atr,body_pct,3.0,3.0,38,23,15,60.526315789473685,"60,5%"
1h,PFR,1.0,atr,ret_1_pct,3.0,3.0,38,23,15,60.526315789473685,"60,5%"
1h,PFR,1.0,range,range_pct,1.0,1.0,38,23,15,60.526315789473685,"60,5%"
1h,PFR,1.0,dist_to_high_n_pct,dist_to_low_n_pct,1.0,0.0,38,23,15,60.526315789473685,"60,5%"
1h,PFR,1.0,atr,range_pct,3.0,3.0,43,26,17,60.46511627906976,"60,5%"
1h,PFR,1.0,range,lower_wick_pct,3.0,3.0,48,29,19,60.416666666666664,"60,4%"
1h,PFR,1.0,range,bars_since_new_high,3.0,0.0,48,29,19,60.416666666666664,"60,4%"
1h,PFR,1.0,range,context_bars_since_extreme,3.0,0.0,48,29,19,60.416666666666664,"60,4%"
1h,PFR,1.0,dist_to_high_n_pct,bars_since_new_high,0.0,0.0,48,29,19,60.416666666666664,"60,4%"
1h,PFR,1.0,dist_to_high_n_pct,context_bars_since_extreme,0.0,0.0,48,29,19,60.416666666666664,"60,4%"
1h,PFR,1.0,range_pct,after_new_high_flag,3.0,1.0,101,61,40,60.396039603960396,"60,4%"
1h,PFR,1.0,range_pct,context_after_extreme_flag,3.0,1.0,101,61,40,60.396039603960396,"60,4%"
1h,PFR,1.0,vol_z,after_new_high_flag,3.0,1.0,101,61,40,60.396039603960396,"60,4%"
1h,PFR,1.0,vol_z,context_after_extreme_flag,3.0,1.0,101,61,40,60.396039603960396,"60,4%"
1h,PFR,1.0,slope_strength,bars_since_new_high,3.0,0.0,58,35,23,60.3448275862069,"60,3%"
1h,PFR,1.0,slope_strength,context_bars_since_extreme,3.0,0.0,58,35,23,60.3448275862069,"60,3%"
1h,PFR,1.0,rsi,bars_since_new_high,3.0,0.0,58,35,23,60.3448275862069,"60,3%"
1h,PFR,1.0,rsi,context_bars_since_extreme,3.0,0.0,58,35,23,60.3448275862069,"60,3%"
1h,PFR,1.0,slope_strength,ret_5_pct,3.0,3.0,63,38,25,60.317460317460316,"60,3%"
1h,PFR,1.0,ma_gap_pct,dist_to_sma80_pct,2.0,2.0,73,44,29,60.273972602739725,"60,3%"
1h,PFR,1.0,range_pct,body_pct,3.0,3.0,75,45,30,60.0,"60,0%"
1h,PFR,1.0,range_pct,ret_1_pct,3.0,3.0,75,45,30,60.0,"60,0%"
1h,PFR,1.0,body,body_pct,3.0,3.0,70,42,28,60.0,"60,0%"
1h,PFR,1.0,body,ret_1_pct,3.0,3.0,70,42,28,60.0,"60,0%"
1h,PFR,1.0,bars_since_new_high,pullback_from_new_high_pct,0.0,0.0,55,33,22,60.0,"60,0%"
1h,PFR,1.0,bars_since_new_high,context_pullback_pct,0.0,0.0,55,33,22,60.0,"60,0%"
1h,PFR,1.0,pullback_from_new_high_pct,context_bars_since_extreme,0.0,0.0,55,33,22,60.0,"60,0%"
1h,PFR,1.0,context_bars_since_extreme,context_pullback_pct,0.0,0.0,55,33,22,60.0,"60,0%"
1h,PFR,1.0,body_pct,lower_wick_pct,3.0,3.0,40,24,16,60.0,"60,0%"
1h,PFR,1.0,lower_wick_pct,ret_1_pct,3.0,3.0,40,24,16,60.0,"60,0%"
1h,PFR,1.0,lower_wick_pct,vol_z,3.0,3.0,40,24,16,60.0,"60,0%"
1h,PFR,1.0,ma_gap_pct,range,3.0,3.0,35,21,14,60.0,"60,0%"
1h,PFR,1.0,sma8,pos_in_range_n,2.0,2.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,sma80,range_pct,2.0,1.0,30,18,12,60.0,"60,0%"
1h,PFR,1.0,ma_gap_pct,slope_strength,2.0,2.0,30,18,12,60.0,"60,0%"
