timeframe,symbol,setup,side,signal_time,entry_time,exit_time,signal_idx,entry_idx,exit_idx,entry,stop,risk,rr,tp,outcome,exit_reason,fill_delay,bars_in_trade,sma8,sma80,ma_gap_pct,dist_to_sma80_pct,slope_strength,atr,atr_pct,range,range_pct,body,body_pct,upper_wick,lower_wick,upper_wick_pct,lower_wick_pct,clv,ret_1_pct,ret_3_pct,ret_5_pct,rsi,rolling_high_20,rolling_low_20,pos_in_range_n,dist_to_high_n_pct,dist_to_low_n_pct,vol_z,bars_since_new_high,pullback_from_new_high_pct,after_new_high_flag,context_bars_since_extreme,context_pullback_pct,context_after_extreme_flag
1h,BTC_USDT,PFR,long,2021-11-29T20:00:00+00:00,2021-11-29T21:00:00+00:00,2021-11-29T23:00:00+00:00,13023,13024,13026,58282.6,57750.9,531.6999999999971,1.0,58814.299999999996,loss,sl,1,3,57792.9375,55349.2625,4.41500914307576,5.006819196552082,0.2551810462745503,553.6287129075562,0.9525532521357458,531.5,0.9144794005557421,221.5,0.38110477370291035,162.0,148.0,0.27873125661341525,0.2546433702394164,0.6952022577610536,0.38256273856198675,-0.9180176954942998,1.7328747341612605,62.73227063446802,58900.5,56723.0,0.6417910447761194,1.3420393836942215,2.4044872291188133,-0.8430916368580025,2.0,1.3242671963735453,1,2.0,1.3242671963735453,1
1h,BTC_USDT,DL,long,2021-12-12T02:00:00+00:00,2021-12-12T03:00:00+00:00,2021-12-12T04:00:00+00:00,13317,13318,13319,49344.1,49014.9,329.1999999999971,1.0,49673.299999999996,loss,sl,1,2,48919.9375,48666.425,0.5209186826441372,0.7522126394120732,0.10261051343496659,484.90455713931,0.9889452039755467,329.0,0.6709835313312599,152.0,0.3099984704022842,159.5,17.5,0.32529444756029163,0.03569061336868403,0.05319148936170213,-0.3090404497351762,-0.536543805911105,0.5382407217551677,57.03365597921063,49666.0,47777.0,0.6646373742721017,1.292000203946362,2.560546576250446,-0.5669367016845489,2.0,1.2755204767849233,1,2.0,1.2755204767849233,1
1h,BTC_USDT,PFR,long,2021-12-21T01:00:00+00:00,2021-12-21T02:00:00+00:00,2021-12-21T03:00:00+00:00,13532,13533,13534,46984.1,46653.9,330.1999999999971,1.0,47314.299999999996,win,tp,1,2,46767.9375,46723.24375,0.09565635091420326,0.5056503595172553,0.2282551986286055,429.0637141539909,0.9136888471001414,330.0,0.702733206273491,174.0,0.37053205421693164,24.5,131.5,0.05217261682939554,0.28002853522716387,0.9257575757575758,0.3719101003516023,0.440608724480529,-0.03086813982202674,56.38736900593678,47470.0,45555.5,0.7333507443196657,1.087106975159446,2.9898103685090343,-0.8341965560037314,4.0,1.0754160522435223,1,4.0,1.0754160522435223,1
1h,BTC_USDT,PFR,long,2021-12-22T01:00:00+00:00,2021-12-22T02:00:00+00:00,2021-12-22T02:00:00+00:00,13556,13557,13557,48812.1,48587.9,224.1999999999971,1.0,49036.299999999996,win,tp,1,1,48791.125,47332.11875,3.0824866676816542,3.107575339631291,0.036882978505419745,379.51741511485113,0.7776518146729732,224.0,0.45898817695633465,173.0,0.35448640452431207,9.0,42.0,0.018441489252709872,0.08606028317931275,0.9598214285714286,0.3557474809788186,-0.9367800343046184,0.3805175038051667,58.61636910875296,49280.0,48308.0,0.5092592592592593,0.9773989303936235,1.0142819088990431,-0.8159847168706156,13.0,0.9679383116883118,1,13.0,0.9679383116883118,1
1h,BTC_USDT,PFR,long,2021-12-23T23:00:00+00:00,2021-12-24T00:00:00+00:00,2021-12-24T01:00:00+00:00,13602,13603,13604,50838.6,50573.9,264.6999999999971,1.0,51103.299999999996,win,tp,1,2,50509.375,48605.01875,3.918023897480745,4.505668974770217,0.49291268825671813,409.7770540684676,0.8067271465074664,264.5,0.520720543360567,21.0,0.04134265183581061,43.5,200.0,0.08563835023132198,0.39373954129343436,0.8355387523629489,0.04135975105368228,-0.23274769952958962,0.4846686449060389,74.18561838615011,51366.5,48049.0,0.827731725697061,1.1251107392459887,5.406043901958854,0.08231307842194194,4.0,1.1125928377444443,1,4.0,1.1125928377444443,1
1h,BTC_USDT,PFR,long,2022-01-01T22:00:00+00:00,2022-01-01T23:00:00+00:00,2022-01-01T23:00:00+00:00,13817,13818,13818,47476.6,47220.9,255.6999999999971,1.0,47732.299999999996,win,tp,1,1,47396.4375,47161.36875,0.4984349611354283,0.5420352648267838,0.13470907058649853,382.62047118212905,0.8069267798092015,255.5,0.5388362823459941,105.5,0.22249404222114433,59.5,90.5,0.1254824219161904,0.19085981820865935,0.7671232876712328,0.22299018209104293,0.19545901171698077,-0.6672183176043012,55.154313213063375,47917.0,46606.5,0.6184662342617322,1.0544741337494992,1.7093025708079381,-1.1390491045183984,5.0,1.0434710019408562,1,5.0,1.0434710019408562,1
1h,BTC_USDT,DL,long,2022-01-11T06:00:00+00:00,2022-01-11T07:00:00+00:00,2022-01-11T08:00:00+00:00,14038,14039,14040,42210.6,41962.9,247.6999999999971,1.0,42458.299999999996,loss,sl,1,2,42023.1875,41744.49375,0.6676179897378646,0.7965272066570421,0.14378401502008223,444.09795774548877,1.0554411144936398,247.5,0.5882073341730637,22.0,0.05228509637093899,111.5,114.0,0.26499037478907717,0.2709318630130475,0.46060606060606063,-0.052257773343789005,-0.40828885548941374,0.39248434237995067,55.084081937642054,42357.5,39622.5,0.8974405850091408,0.6666349787294722,5.83335313829408,-0.5624476298025342,4.0,0.662220386000118,1,4.0,0.662220386000118,1
1h,BTC_USDT,PFR,long,2022-01-11T22:00:00+00:00,2022-01-11T23:00:00+00:00,2022-01-12T00:00:00+00:00,14054,14055,14056,42755.1,42599.9,155.1999999999971,1.0,42910.299999999996,loss,sl,1,2,42589.0625,41812.51875,1.8572039504317042,2.0986089243906094,0.3165261185289295,454.8676055884702,1.065513248040455,155.0,0.3630826891543687,39.5,0.09252752401030687,65.0,50.5,0.15226048254860622,0.11829468259545561,0.5806451612903226,0.09261321672664469,-0.5937827453719846,0.3679452666721428,60.119610590625804,43088.0,41274.0,0.7805953693495039,0.9323026469899274,3.316936050597329,-0.5947590909267458,5.0,0.9236910508726328,1,5.0,0.9236910508726328,1
1h,BTC_USDT,PFR,long,2022-01-12T16:00:00+00:00,2022-01-12T17:00:00+00:00,2022-01-12T21:00:00+00:00,14072,14073,14077,43670.1,43329.9,340.1999999999971,1.0,44010.299999999996,win,tp,1,5,43317.75,42125.38125,2.8305233439281965,3.5076685507742478,0.28782423227759557,391.071269779559,0.8968907409571795,340.0,0.7797628603536454,52.5,0.12040455931931289,67.0,220.5,0.15365915189321835,0.5056991491411141,0.8029411764705883,0.12054970666237619,-0.6459845282717924,1.610272184936612,67.74703751704547,44039.0,42428.5,0.7292766221670288,0.9999311973946746,2.6936219984863428,-0.04242180456517453,3.0,0.9900315629328549,1,3.0,0.9900315629328549,1
1h,BTC_USDT,PFR,long,2022-01-16T13:00:00+00:00,2022-01-16T14:00:00+00:00,2022-01-17T05:00:00+00:00,14165,14166,14181,43150.1,42585.4,564.6999999999971,1.0,43714.799999999996,loss,sl,1,16,43054.5,43028.73125,0.05988731076053494,0.1702786670011399,0.03741125701823581,247.48591842216018,0.5741866234099582,564.5,1.309684005382581,108.0,0.2505684190988817,48.0,408.5,0.1113637418217252,0.9477518444619739,0.9149689991142604,0.2511978415592919,0.46266621604298397,0.09172714078373723,51.6186575322838,43791.0,42585.5,0.4284529240978847,1.5985337107326807,1.1983202635608556,3.7192141095441955,17.0,1.5733826585371424,1,17.0,1.5733826585371424,1
