timeframe,setup,rr,feature,mode,pct,threshold,trades_train,win_rate_train_num,win_rate_train,delta_vs_base_train_num,delta_vs_base_train,trades_test,win_rate_test_num,win_rate_test,delta_vs_base_test_num,delta_vs_base_test
1h,PFR,1.0,ret_3_pct,low,60,0.13271201002746033,201,48.756218905472636,"48,8%",-0.19900497512438164,"-0,2%",49,34.69387755102041,"34,7%",-9.353741496598637,"-9,4%"
1h,PFR,1.0,ret_3_pct,low,50,0.0350147402876643,168,51.19047619047619,"51,2%",2.235252309879172,"2,2%",40,32.5,"32,5%",-11.547619047619044,"-11,5%"
1h,PFR,1.5,rsi,high,60,60.10552793579742,193,38.860103626943,"38,9%",-2.754803205355138,"-2,8%",49,42.857142857142854,"42,9%",8.289241622574956,"8,3%"
1h,PFR,1.5,ret_3_pct,high,50,0.03504091594248575,161,40.993788819875775,"41,0%",-0.6211180124223645,"-0,6%",43,41.86046511627907,"41,9%",7.292563881711175,"7,3%"
1h,PFR,1.5,pullback_from_new_high_atr,low,50,1.053029914424444,161,40.993788819875775,"41,0%",-0.6211180124223645,"-0,6%",46,41.30434782608695,"41,3%",6.736446591519055,"6,7%"
1h,PFR,1.5,context_pullback_atr,low,50,1.053029914424444,161,40.993788819875775,"41,0%",-0.6211180124223645,"-0,6%",46,41.30434782608695,"41,3%",6.736446591519055,"6,7%"
1h,PFR,1.5,pullback_from_new_high_atr,low,60,1.2590976263064255,193,38.860103626943,"38,9%",-2.754803205355138,"-2,8%",51,39.21568627450981,"39,2%",4.647785039941908,"4,6%"
1h,PFR,1.5,context_pullback_atr,low,60,1.2590976263064255,193,38.860103626943,"38,9%",-2.754803205355138,"-2,8%",51,39.21568627450981,"39,2%",4.647785039941908,"4,6%"
1h,PFR,1.5,vol_z,high,60,-0.44532497812743205,193,44.04145077720207,"44,0%",2.4265439449039334,"2,4%",57,38.59649122807017,"38,6%",4.028589993502273,"4,0%"
1h,PFR,1.5,pos_in_range_n,high,50,0.7905788885737002,161,41.61490683229814,"41,6%",0.0,"0,0%",47,38.297872340425535,"38,3%",3.7299711058576364,"3,7%"
1h,PFR,1.5,bars_since_new_high,low,60,4.0,199,39.698492462311556,"39,7%",-1.9164143699865832,"-1,9%",47,38.297872340425535,"38,3%",3.7299711058576364,"3,7%"
1h,PFR,1.5,context_bars_since_extreme,low,60,4.0,199,39.698492462311556,"39,7%",-1.9164143699865832,"-1,9%",47,38.297872340425535,"38,3%",3.7299711058576364,"3,7%"
1h,PFR,1.5,pos_in_range_n,high,60,0.7511204481792714,193,41.45077720207254,"41,5%",-0.16412963022560234,"-0,2%",55,38.18181818181819,"38,2%",3.6139169472502886,"3,6%"
1h,PFR,1.5,pullback_from_new_high_pct,low,40,0.7096803536979354,129,41.86046511627907,"41,9%",0.24555828398093382,"0,2%",53,37.735849056603776,"37,7%",3.1679478220358774,"3,2%"
1h,PFR,1.5,context_pullback_pct,low,40,0.7096803536979354,129,41.86046511627907,"41,9%",0.24555828398093382,"0,2%",53,37.735849056603776,"37,7%",3.1679478220358774,"3,2%"
1h,PFR,1.5,pullback_from_new_high_pct,low,60,0.9324217876309937,193,40.41450777202073,"40,4%",-1.2003990602774124,"-1,2%",61,37.704918032786885,"37,7%",3.137016798218987,"3,1%"
1h,PFR,1.5,context_pullback_pct,low,60,0.9324217876309937,193,40.41450777202073,"40,4%",-1.2003990602774124,"-1,2%",61,37.704918032786885,"37,7%",3.137016798218987,"3,1%"
1h,PFR,1.5,body,high,50,80.70000000000073,161,47.20496894409938,"47,2%",5.590062111801238,"5,6%",69,37.68115942028986,"37,7%",3.1132581857219606,"3,1%"
1h,PFR,1.5,lower_wick,high,40,143.8,129,41.08527131782946,"41,1%",-0.52963551446868,"-0,5%",56,37.5,"37,5%",2.9320987654321016,"2,9%"
1h,PFR,1.5,slope_strength,high,60,0.10149616353194678,193,42.487046632124354,"42,5%",0.8721397998262148,"0,9%",40,37.5,"37,5%",2.9320987654321016,"2,9%"
1h,PFR,1.5,upper_wick_pct,high,60,0.08054750629713014,193,41.45077720207254,"41,5%",-0.16412963022560234,"-0,2%",40,37.5,"37,5%",2.9320987654321016,"2,9%"
1h,PFR,1.5,pullback_from_new_high_pct,low,50,0.810380194633018,161,38.50931677018634,"38,5%",-3.1055900621118013,"-3,1%",59,37.28813559322034,"37,3%",2.7202343586524407,"2,7%"
1h,PFR,1.5,context_pullback_pct,low,50,0.810380194633018,161,38.50931677018634,"38,5%",-3.1055900621118013,"-3,1%",59,37.28813559322034,"37,3%",2.7202343586524407,"2,7%"
1h,PFR,1.5,after_new_high_recent_flag,high,10,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,after_new_high_recent_flag,high,15,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,after_new_high_recent_flag,high,20,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,after_new_high_recent_flag,high,25,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,after_new_high_recent_flag,high,30,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,after_new_high_recent_flag,high,40,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,after_new_high_recent_flag,high,50,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,after_new_high_recent_flag,high,60,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,context_after_extreme_flag_v2,high,10,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,context_after_extreme_flag_v2,high,15,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,context_after_extreme_flag_v2,high,20,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
1h,PFR,1.5,context_after_extreme_flag_v2,high,25,1.0,215,33.02325581395349,"33,0%",-8.591651018344649,"-8,6%",51,37.254901960784316,"37,3%",2.687000726216418,"2,7%"
